"event","experiment time","system time","system time text"
"START",0.000000000E0,1713791654.698,"2024-04-22 15:14:14.698 UTC+02:00"
"PAUSE",1.274977145E1,1713791667.447,"2024-04-22 15:14:27.447 UTC+02:00"
