"event","experiment time","system time","system time text"
"START",0.000000000E0,1713801531.884,"2024-04-22 17:58:51.884 UTC+02:00"
"PAUSE",1.030708973E1,1713801542.191,"2024-04-22 17:59:02.191 UTC+02:00"
