"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.121540700E-2,6.689698696E0,3.940855980E0,6.574777126E0
1.322940700E-2,6.723217487E0,4.010287762E0,6.534075737E0
1.616640700E-2,6.965032101E0,4.189853191E0,6.546046734E0
1.818040700E-2,7.027281284E0,4.254496574E0,6.584353924E0
2.019340700E-2,7.120655060E0,4.345476151E0,6.648997307E0
2.220640700E-2,7.199663639E0,4.390965939E0,6.768707275E0
2.421940700E-2,7.230788231E0,4.417302132E0,6.823774338E0
2.623240700E-2,7.278672218E0,4.458003521E0,6.926724911E0
2.824515700E-2,7.328950882E0,4.489128113E0,6.984185696E0
3.025815700E-2,7.338527679E0,4.505887508E0,7.008127689E0
3.227115700E-2,7.376834869E0,4.520252705E0,7.065588474E0
3.428444200E-2,7.434295654E0,4.546588898E0,7.142202854E0
3.629756700E-2,7.477391243E0,4.544194698E0,7.197269440E0
3.831067800E-2,7.522881031E0,4.551377296E0,7.369652271E0
4.032387800E-2,7.609072208E0,4.575319290E0,7.549217224E0
4.233715000E-2,7.726387978E0,4.606443882E0,7.692869186E0
4.435048300E-2,7.788637638E0,4.608838081E0,7.740753174E0
4.636379000E-2,7.927501202E0,4.627991676E0,7.805397034E0
4.837707500E-2,8.066365242E0,4.661510944E0,7.853281021E0
5.039034100E-2,8.128614426E0,4.671087742E0,7.862857819E0
5.240359100E-2,8.262689590E0,4.714183331E0,7.879617214E0
5.441682600E-2,8.360851288E0,4.771644115E0,7.865252018E0
5.642993700E-2,8.413523674E0,4.800374508E0,7.862857819E0
5.844293700E-2,8.516474724E0,4.862623692E0,7.884405613E0
6.045698700E-2,8.643367767E0,4.886565685E0,7.886799812E0
6.246998700E-2,8.715193748E0,4.903624535E0,7.889194012E0
6.448294100E-2,8.887576103E0,4.927566528E0,7.917924404E0
6.649585400E-2,9.033622742E0,4.961085320E0,7.932289600E0
6.850877000E-2,9.186851501E0,4.968267918E0,7.944260597E0
7.052169000E-2,9.263465881E0,4.965873718E0,7.956231594E0
7.253465100E-2,9.402329445E0,4.932354927E0,8.011298180E0
7.454761300E-2,9.584288597E0,4.970662117E0,8.080730438E0
7.656057700E-2,9.680056572E0,4.994604111E0,8.104672432E0
7.857357700E-2,9.806949615E0,5.064035892E0,8.116642952E0
8.058657700E-2,9.919476509E0,5.087977886E0,8.231564522E0
8.259961000E-2,9.993697166E0,5.095160484E0,8.303390503E0
8.461264300E-2,1.014932060E1,5.123890877E0,8.480561256E0
8.662570900E-2,1.027381897E1,5.162198067E0,8.691251755E0
8.863880900E-2,1.033367348E1,5.174169064E0,8.818143845E0
9.065190900E-2,1.046296024E1,5.181351662E0,9.059958458E0
9.266504200E-2,1.053957558E1,5.207687855E0,9.270648003E0
9.467814200E-2,1.059464169E1,5.248389244E0,9.455001831E0
9.669300800E-2,1.063294888E1,5.250783443E0,9.550769806E0
9.870614100E-2,1.071914005E1,5.272331238E0,9.730335236E0
1.007192740E-1,1.079096603E1,5.286696434E0,9.864410400E0
1.027324070E-1,1.083885002E1,5.286696434E0,9.929053307E0
1.047454730E-1,1.095616627E1,5.281908035E0,1.008707142E1
1.067585390E-1,1.103278065E1,5.274725437E0,1.022593498E1
1.087716390E-1,1.105911732E1,5.274725437E0,1.029776096E1
1.107847390E-1,1.107108784E1,5.262754440E0,1.045817184E1
1.127978390E-1,1.107348251E1,5.298667431E0,1.060661316E1
1.148109720E-1,1.106390572E1,5.303455830E0,1.068083286E1
1.168242050E-1,1.102799225E1,5.303455830E0,1.080293751E1
1.188374710E-1,1.096813679E1,5.296273232E0,1.091546440E1
1.208500710E-1,1.092743587E1,5.293879032E0,1.096813679E1
1.228633370E-1,1.084124470E1,5.262754440E0,1.103517532E1
1.248767030E-1,1.072153473E1,5.210082054E0,1.109981823E1
1.268901030E-1,1.057788277E1,5.147832870E0,1.108784771E1
1.289035360E-1,1.048929691E1,5.109525681E0,1.105672264E1
1.309169690E-1,1.032649136E1,5.020940304E0,1.098489666E1
1.329303690E-1,1.016847420E1,4.951508522E0,1.087715721E1
1.349438020E-1,1.008946514E1,4.925172329E0,1.080293751E1
1.369571680E-1,9.943418503E0,4.893748283E0,1.065928555E1
1.389704340E-1,9.821314812E0,4.884171486E0,1.044141293E1
1.409836340E-1,9.730335236E0,4.876988888E0,1.031691456E1
1.429968340E-1,9.519645691E0,4.860229492E0,1.006552315E1
1.450100000E-1,9.275436401E0,4.850652695E0,9.794978142E0
1.470231660E-1,9.155726433E0,4.865017891E0,9.653720856E0
1.490362990E-1,8.916306496E0,4.879383087E0,9.332897186E0
1.510493990E-1,8.727164268E0,4.857835293E0,9.007286072E0
1.530624320E-1,8.523657799E0,4.848258495E0,8.681674957E0
1.550754320E-1,8.351274490E0,4.802768707E0,8.317755699E0
1.570873980E-1,8.272266388E0,4.795586109E0,8.128614426E0
1.591011980E-1,8.056788445E0,4.814739704E0,7.805397034E0
1.611149640E-1,7.949048996E0,4.821922302E0,7.637802601E0
1.631287300E-1,7.747935772E0,4.821922302E0,7.293037415E0
1.651424960E-1,7.551611423E0,4.807557106E0,6.991368294E0
1.671562960E-1,7.463026047E0,4.793191910E0,6.842927933E0
1.691700620E-1,7.281066418E0,4.788403511E0,6.543652534E0
1.711837950E-1,7.094318867E0,4.783615112E0,6.222829342E0
1.731975280E-1,6.996156693E0,4.778826714E0,6.071994781E0
1.752112280E-1,6.783072472E0,4.740519524E0,5.765536785E0
1.772531610E-1,6.409577370E0,4.680664539E0,5.329792023E0
1.792951940E-1,6.294655323E0,4.654327869E0,5.188534260E0
1.813371940E-1,6.086359978E0,4.606443882E0,4.963479519E0
1.833792600E-1,5.880458832E0,4.565742493E0,4.759673119E0
1.854212260E-1,5.791872978E0,4.553771496E0,4.666299343E0
