"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.004315000E-3,-4.448426723E0,4.937143326E0,7.400776863E0
1.102031500E-2,-4.429273129E0,4.922778130E0,7.434295654E0
1.303331500E-2,-4.410119534E0,4.901230335E0,7.503727436E0
1.504631500E-2,-4.393360138E0,4.862623692E0,7.558794022E0
1.705931500E-2,-4.390965939E0,4.841075897E0,7.587524414E0
1.907281500E-2,-4.364629745E0,4.783615112E0,7.685686588E0
2.109801500E-2,-4.359841347E0,4.762067318E0,7.712022781E0
2.311118100E-2,-4.350264549E0,4.742913723E0,7.712022781E0
2.512432300E-2,-4.357447147E0,4.714183331E0,7.764695168E0
2.713744800E-2,-4.335899353E0,4.687847137E0,7.805397034E0
2.915067000E-2,-4.319139957E0,4.678270340E0,7.810185432E0
3.116397000E-2,-4.292803764E0,4.683058739E0,7.810185432E0
3.317724200E-2,-4.261679173E0,4.666299343E0,7.807791233E0
3.519049200E-2,-4.232948780E0,4.663905144E0,7.814973831E0
3.720379900E-2,-4.216189384E0,4.661510944E0,7.817368031E0
3.921708400E-2,-4.201824188E0,4.632780075E0,7.814973831E0
4.123028400E-2,-4.213795185E0,4.589684486E0,7.800608635E0
4.324340900E-2,-4.213795185E0,4.572925091E0,7.800608635E0
4.525646700E-2,-4.201824188E0,4.570530891E0,7.791031837E0
4.726946700E-2,-4.175487995E0,4.575319290E0,7.803002834E0
4.928241400E-2,-4.156333923E0,4.577713490E0,7.791031837E0
5.129526400E-2,-4.110844135E0,4.568136692E0,7.791031837E0
5.330807300E-2,-4.041412354E0,4.601655483E0,7.846098423E0
5.532084500E-2,-4.012681961E0,4.616020679E0,7.874828815E0
5.733358400E-2,-3.955221176E0,4.647145271E0,7.961019993E0
5.934633400E-2,-3.892971992E0,4.668693542E0,8.044816971E0
6.135893400E-2,-3.869029999E0,4.673481941E0,8.083124161E0
6.337151000E-2,-3.830722809E0,4.678270340E0,8.162133217E0
6.538406500E-2,-3.842693806E0,4.680664539E0,8.205228806E0
6.739663600E-2,-3.837905407E0,4.683058739E0,8.214805603E0
6.940925600E-2,-3.842693806E0,4.687847137E0,8.205228806E0
7.142188900E-2,-3.847482204E0,4.683058739E0,8.166921616E0
7.343452200E-2,-3.859453201E0,4.687847137E0,8.114249229E0
7.544715500E-2,-3.859453201E0,4.695029736E0,8.075942039E0
7.745975500E-2,-3.852270603E0,4.707000732E0,8.001721382E0
7.947228800E-2,-3.845088005E0,4.716577530E0,7.922712803E0
8.148282100E-2,-3.835511208E0,4.730942726E0,7.886799812E0
8.349535400E-2,-3.842693806E0,4.771644115E0,7.824550629E0
8.550792000E-2,-3.840299606E0,4.797980309E0,7.793426037E0
8.752045300E-2,-3.823540211E0,4.812345505E0,7.779060364E0
8.953295300E-2,-3.818751812E0,4.829104900E0,7.745541573E0
9.154541900E-2,-3.823540211E0,4.850652695E0,7.735964775E0
9.355785200E-2,-3.866635799E0,4.860229492E0,7.726387978E0
9.557028500E-2,-3.871424198E0,4.872200489E0,7.728782177E0
9.758268500E-2,-3.902548790E0,4.855441093E0,7.700051785E0
9.959505100E-2,-3.931279182E0,4.869806290E0,7.678503990E0
1.016359840E-1,-3.948038578E0,4.865017891E0,7.680898190E0
1.036769840E-1,-3.971980572E0,4.865017891E0,7.654561996E0
1.057180170E-1,-3.988739967E0,4.867412090E0,7.656956196E0
