"event","experiment time","system time","system time text"
"START",0.000000000E0,1713792284.434,"2024-04-22 15:24:44.434 UTC+02:00"
"PAUSE",2.258807883E1,1713792307.022,"2024-04-22 15:25:07.022 UTC+02:00"
