"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.345286600E-2,-4.350264549E0,6.517316341E0,7.836521626E0
1.546386600E-2,-4.237737179E0,6.493374348E0,7.836521626E0
1.747486600E-2,-4.165910721E0,6.404788971E0,7.882011414E0
1.948636600E-2,-4.017470360E0,6.273107529E0,8.011298180E0
2.149803200E-2,-3.864241600E0,6.127061367E0,8.171710014E0
2.350953200E-2,-3.787626982E0,6.057629585E0,8.272266388E0
2.552093200E-2,-3.651157618E0,5.861305237E0,8.482955933E0
2.753243200E-2,-3.576937437E0,5.653009415E0,8.712799072E0
2.954400300E-2,-3.536235809E0,5.542876244E0,8.813355446E0
3.155562800E-2,-3.430891037E0,5.351340294E0,8.966584206E0
3.356740500E-2,-3.404554844E0,5.202899456E0,9.126996040E0
3.557920500E-2,-3.416525841E0,5.155015469E0,9.201216698E0
3.759075000E-2,-3.485957623E0,5.092766285E0,9.320926666E0
3.960225000E-2,-3.557783842E0,5.054459095E0,9.390357971E0
4.161355700E-2,-3.622427225E0,5.056853294E0,9.404723167E0
4.364512800E-2,-3.737348795E0,5.047276497E0,9.352050781E0
4.567546100E-2,-3.873818398E0,5.025728703E0,9.277831078E0
4.770464800E-2,-4.019864559E0,4.975450516E0,9.177274704E0
4.973282400E-2,-4.048594952E0,4.949114323E0,9.103054047E0
5.176015700E-2,-4.031835556E0,4.898836136E0,9.028834343E0
5.378668300E-2,-3.845088005E0,4.920383930E0,9.036016464E0
5.581243300E-2,-3.572149038E0,5.073612690E0,9.208398819E0
5.783748000E-2,-3.457227230E0,5.195716858E0,9.380781174E0
5.986188900E-2,-3.174711466E0,5.509357452E0,9.680056572E0
6.188571500E-2,-2.829946518E0,5.755959988E0,9.902717590E0
6.390900600E-2,-2.676717520E0,5.854122639E0,9.972148895E0
6.593180600E-2,-2.434903145E0,5.992986202E0,9.993697166E0
6.795419000E-2,-2.312798738E0,6.057629585E0,9.936236382E0
6.997622700E-2,-2.269703150E0,6.081571579E0,9.881169319E0
7.199790500E-2,-2.200271368E0,6.158185959E0,9.744700432E0
7.401928400E-2,-2.102109194E0,6.246771336E0,9.603442192E0
7.604028400E-2,-2.044648170E0,6.297049522E0,9.536404610E0
7.808968400E-2,-1.862688899E0,6.419154167E0,9.270648003E0
8.013908400E-2,-1.690306425E0,6.457461357E0,9.150938034E0
8.218845000E-2,-1.604115129E0,6.493374348E0,8.949825287E0
8.423781600E-2,-1.405396342E0,6.517316341E0,8.775048256E0
8.628718200E-2,-1.110909581E0,6.524498940E0,8.638579369E0
8.833651500E-2,-9.528923035E-1,6.507739544E0,8.518868446E0
9.038581500E-2,-7.206547260E-1,6.524498940E0,8.107066154E0
9.243504800E-2,-3.591302633E-1,6.421548367E0,8.111854553E0
9.448418100E-2,-1.795651317E-1,6.320991993E0,8.164526939E0
9.653328100E-2,1.460463107E-1,6.100725174E0,8.255506516E0
9.858248100E-2,4.046200812E-1,5.866093636E0,8.329727173E0
1.006316470E-1,5.219359994E-1,5.720046997E0,8.327332497E0
1.026809130E-1,7.134721279E-1,5.356128693E0,8.207622528E0
1.047207130E-1,1.019929886E0,4.970662117E0,8.018480301E0
1.067604460E-1,1.146822572E0,4.821922302E0,7.929895401E0
1.088001790E-1,1.335964561E0,4.505887508E0,7.896376610E0
1.108398790E-1,1.613691926E0,4.288015366E0,8.066365242E0
1.128795120E-1,1.869871497E0,4.175487995E0,8.253112793E0
1.149191450E-1,1.999158382E0,3.670311213E0,7.848492622E0
1.169587780E-1,2.518700123E0,2.743755102E0,6.931513309E0
1.189983440E-1,2.659958124E0,2.667140722E0,7.395988464E0
1.210378770E-1,2.753331900E0,2.609679937E0,8.008903503E0
1.230773770E-1,2.858676910E0,2.525882721E0,9.289801598E0
1.251168430E-1,2.904166698E0,2.482787132E0,1.047732544E1
1.271564090E-1,2.846705914E0,2.477998734E0,1.121473980E1
1.291959420E-1,2.614468336E0,2.458845139E0,1.263928986E1
1.312354080E-1,2.276885748E0,2.226607561E0,1.391061115E1
1.332748410E-1,2.078166962E0,2.035071373E0,1.457141113E1
1.353141740E-1,1.714248419E0,1.697489023E0,1.577359962E1
1.373535400E-1,1.367089152E0,1.517923832E0,1.634581375E1
1.393645060E-1,1.192312479E0,1.412579060E0,1.626919937E1
1.413754060E-1,8.595184088E-1,1.165976286E0,1.574726295E1
1.433862720E-1,3.088520169E-1,8.355764151E-1,1.515828991E1
1.453971050E-1,-6.560112834E-1,3.806780577E-1,1.438705730E1
1.474079050E-1,-1.065419793E0,2.466027737E-1,1.392258263E1
