"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.027196700E-2,-8.631396294E0,3.430891037E0,2.003946781E0
2.228596700E-2,-8.614637375E0,3.454833031E0,2.116474390E0
2.429996700E-2,-8.588300705E0,3.442862034E0,2.219424963E0
2.631346700E-2,-8.590695381E0,3.466804028E0,2.329558372E0
2.832646700E-2,-8.576330185E0,3.466804028E0,2.387019157E0
3.033946700E-2,-8.552388191E0,3.459621429E0,2.497152328E0
3.235266700E-2,-8.538022995E0,3.411737442E0,2.614468336E0
3.436550000E-2,-8.514080048E0,3.399766445E0,2.674323320E0
3.637821400E-2,-8.459013939E0,3.335123062E0,2.774879694E0
3.849633900E-2,-8.420706749E0,3.253720045E0,2.904166698E0
4.060278300E-2,-8.368034363E0,3.169923067E0,3.055001259E0
4.269998300E-2,-8.327332497E0,3.066972494E0,3.174711466E0
4.478961900E-2,-8.277054787E0,3.016694069E0,3.224989653E0
4.687278500E-2,-8.248324394E0,2.975992680E0,3.342305660E0
4.895047700E-2,-8.233959198E0,2.942473888E0,3.471592426E0
5.102347700E-2,-8.202834129E0,2.925714493E0,3.564966440E0
5.309247700E-2,-8.200440407E0,2.925714493E0,3.620033026E0
5.515791400E-2,-8.190863609E0,2.906560898E0,3.720589399E0
5.722026600E-2,-8.198045731E0,2.916137695E0,3.797203779E0
5.927982100E-2,-8.202834129E0,2.913743496E0,3.847482204E0
6.133697800E-2,-8.257901192E0,2.916137695E0,3.955221176E0
6.339187800E-2,-8.339303970E0,2.916137695E0,4.072536945E0
6.544473500E-2,-8.387187958E0,2.918531895E0,4.149151325E0
6.749568900E-2,-8.485349655E0,2.923320293E0,4.311957359E0
6.954499300E-2,-8.597877502E0,2.920926094E0,4.453215122E0
7.159278400E-2,-8.669703484E0,2.928108692E0,4.501099110E0
7.363914400E-2,-8.935460091E0,2.894589901E0,4.630385876E0
7.568633600E-2,-9.014469147E0,2.892195702E0,4.659116745E0
7.773015000E-2,-9.189245224E0,2.899378300E0,4.699818134E0
7.977282800E-2,-9.268254280E0,2.916137695E0,4.723760128E0
8.181441400E-2,-9.428665161E0,2.952050686E0,4.766855717E0
8.385498000E-2,-9.534010887E0,3.026270866E0,4.829104900E0
8.589548000E-2,-9.567529678E0,3.066972494E0,4.848258495E0
8.793591300E-2,-9.624990463E0,3.131615877E0,4.867412090E0
8.997634600E-2,-9.622595787E0,3.213018656E0,4.896441936E0
9.201671200E-2,-9.610625267E0,3.263296843E0,4.908412933E0
9.405694500E-2,-9.548376083E0,3.303998232E0,4.944325924E0
9.609717800E-2,-9.457395554E0,3.335123062E0,4.975450516E0
9.813744400E-2,-9.409511566E0,3.354276657E0,4.989815712E0
1.001495100E-1,-9.296984673E0,3.368641853E0,5.035305500E0
1.021615760E-1,-9.177274704E0,3.390189648E0,5.030517101E0
1.041735090E-1,-9.050381660E0,3.361459255E0,5.020940304E0
1.061853420E-1,-8.980949402E0,3.347094059E0,4.996998310E0
1.081971420E-1,-8.892364502E0,3.339911461E0,4.920383930E0
1.102089420E-1,-8.810961723E0,3.299209833E0,4.826710701E0
1.122207420E-1,-8.772654533E0,3.294421434E0,4.762067318E0
1.142324750E-1,-8.691251755E0,3.294421434E0,4.601655483E0
1.162441410E-1,-8.650549889E0,3.292027235E0,4.407725334E0
1.182556740E-1,-8.629002571E0,3.275267839E0,4.307168961E0
1.202689070E-1,-8.600272179E0,3.265691042E0,4.101267338E0
1.222803400E-1,-8.549993515E0,3.265691042E0,3.840299606E0
1.242917400E-1,-8.523657799E0,3.263296843E0,3.679888010E0
1.263031060E-1,-8.468590736E0,3.248931646E0,3.351882458E0
1.283145390E-1,-8.420706749E0,3.232172251E0,3.050212860E0
1.303259720E-1,-8.389581680E0,3.215412855E0,2.899378300E0
1.323373380E-1,-8.257901192E0,3.193865061E0,2.621650934E0
1.343487040E-1,-8.056788445E0,3.167528868E0,2.212242365E0
1.363582040E-1,-7.989750385E0,3.119644880E0,2.066195965E0
1.383696370E-1,-7.927501202E0,3.090914488E0,1.912967205E0
1.403811030E-1,-7.807791233E0,3.038241863E0,1.606509328E0
1.423926030E-1,-7.702445984E0,2.987963676E0,1.340752959E0
1.444041690E-1,-7.671321392E0,2.978386879E0,1.242590666E0
1.464157690E-1,-7.609072208E0,2.952050686E0,1.132457376E0
1.484274020E-1,-7.587524414E0,2.918531895E0,1.106121182E0
1.504390680E-1,-7.573159218E0,2.911349297E0,1.127668977E0
1.524508010E-1,-7.554005623E0,2.877830505E0,1.199495077E0
1.544626010E-1,-7.570765018E0,2.834734917E0,1.345541358E0
1.565028010E-1,-7.594707012E0,2.813186884E0,1.537077546E0
1.585430340E-1,-7.637802601E0,2.796427488E0,1.731007814E0
1.605833340E-1,-7.688080788E0,2.801215887E0,1.915361404E0
1.626236670E-1,-7.719205379E0,2.794033289E0,2.013523579E0
1.646640670E-1,-7.800608635E0,2.777273893E0,2.214636564E0
1.667045000E-1,-7.855675220E0,2.789244890E0,2.401384354E0
1.687450000E-1,-7.884405613E0,2.794033289E0,2.497152328E0
1.707855000E-1,-7.937077999E0,2.796427488E0,2.695871115E0
