"event","experiment time","system time","system time text"
"START",0.000000000E0,1713520185.361,"2024-04-19 11:49:45.361 UTC+02:00"
"PAUSE",8.129984375E0,1713520193.491,"2024-04-19 11:49:53.491 UTC+02:00"
